source_file,subject_id,trial_id,segment_index,text_word_count,text_lm_token_count,text_lm_token_count_with_special_tokens,text_was_truncated,scanpath_token_count,scanpath_unique_token_count,scanpath_repetition_ratio,scanpath_lm_token_count,scanpath_lm_token_count_with_special_tokens,scanpath_was_truncated,scanpath_vs_text_word_ratio,scanpath_vs_text_lm_token_ratio
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0000",0,21,24,26,False,20,13,0.35,26,28,False,0.9523809523809523,1.0833333333333333
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0001",1,23,26,28,False,27,16,0.40740740740740744,31,33,False,1.173913043478261,1.1923076923076923
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0002",2,8,10,12,False,13,6,0.5384615384615384,16,18,False,1.625,1.6
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0003",3,26,32,34,False,39,19,0.5128205128205128,58,60,False,1.5,1.8125
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0004",4,25,28,30,False,28,19,0.3214285714285714,32,34,False,1.12,1.1428571428571428
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0005",5,29,32,34,False,22,15,0.31818181818181823,29,31,False,0.7586206896551724,0.90625
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0006",6,14,14,16,False,17,11,0.3529411764705882,18,20,False,1.2142857142857142,1.2857142857142858
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0007",7,25,30,32,False,28,17,0.3928571428571429,41,43,False,1.12,1.3666666666666667
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0008",8,21,24,26,False,27,18,0.33333333333333337,34,36,False,1.2857142857142858,1.4166666666666667
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0009",9,20,28,30,False,34,14,0.5882352941176471,47,49,False,1.7,1.6785714285714286
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0010",10,18,24,26,False,31,14,0.5483870967741935,55,57,False,1.7222222222222223,2.2916666666666665
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0011",11,22,26,28,False,33,17,0.48484848484848486,43,45,False,1.5,1.6538461538461537
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0012",12,18,23,25,False,16,15,0.0625,23,25,False,0.8888888888888888,1.0
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0013",13,33,38,40,False,37,21,0.43243243243243246,42,44,False,1.121212121212121,1.105263157894737
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0014",14,21,26,28,False,21,16,0.23809523809523814,27,29,False,1.0,1.0384615384615385
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0015",15,42,50,52,False,41,27,0.3414634146341463,52,54,False,0.9761904761904762,1.04
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0016",16,4,5,7,False,4,4,0.0,7,9,False,1.0,1.4
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0017",17,24,28,30,False,42,21,0.5,50,52,False,1.75,1.7857142857142858
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0018",18,13,22,24,False,10,8,0.19999999999999996,16,18,False,0.7692307692307693,0.7272727272727273
sub-001.json,sub-001,"Ahora debería reírme, si no estuviera muerto::sub-001::seg_0019",19,17,18,20,False,11,9,0.18181818181818177,12,14,False,0.6470588235294118,0.6666666666666666
